model,dataset,flip_rate,mean_yes_pct,mean_brd,brd_ci_lo,brd_ci_hi,min_brd,mean_acc,acc_ci_lo,acc_ci_hi,debate_brd,baseline_yes_pct,baseline_brd,base_rate
gpt-4o-mini,nlsy97,0.41,0.5596200000000001,0.19962000000000002,0.14,0.28,0.08000000000000002,0.49854400000000004,0.4,0.6,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.42,0.5532239999999999,0.19322399999999998,0.13,0.27,0.07,0.49793600000000005,0.41,0.59,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.43,0.545882,0.18588200000000005,0.12,0.26,0.06,0.49945600000000007,0.4,0.6,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.44,0.5394700000000001,0.17947,0.10999999999999999,0.25,0.030000000000000027,0.49885599999999997,0.39,0.59,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.45,0.5326140000000001,0.17261400000000005,0.10000000000000003,0.24,0.040000000000000036,0.4987540000000001,0.4,0.6,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.46,0.525688,0.165688,0.09000000000000002,0.22999999999999998,0.030000000000000027,0.499414,0.41,0.59,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.47,0.5197700000000001,0.15977000000000005,0.08000000000000002,0.24,0.020000000000000018,0.49855200000000005,0.4,0.6,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.48,0.513392,0.153392,0.09000000000000002,0.22999999999999998,0.030000000000000027,0.49937800000000004,0.41,0.59,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.49,0.506934,0.14693400000000004,0.08000000000000002,0.21999999999999997,0.020000000000000018,0.500182,0.4,0.6,0.03500000000000003,0.83,0.47,0.36
gpt-4o-mini,nlsy97,0.5,0.499692,0.139694,0.07,0.20999999999999996,0.010000000000000009,0.499032,0.41,0.59,0.03500000000000003,0.83,0.47,0.36
gpt-4.1-mini,nlsy97,0.01,0.7155940000000001,0.3555940000000001,0.35,0.37,0.35,0.539058,0.53,0.55,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.02,0.711274,0.35127399999999986,0.33999999999999997,0.38,0.33999999999999997,0.538378,0.52,0.56,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.03,0.7067199999999999,0.3467200000000001,0.32999999999999996,0.37,0.32999999999999996,0.537396,0.51,0.57,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.04,0.7024219999999999,0.34242199999999995,0.32000000000000006,0.38,0.32000000000000006,0.536432,0.5,0.58,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.05,0.6983419999999999,0.33834200000000003,0.31000000000000005,0.37,0.31000000000000005,0.536118,0.49,0.57,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.06,0.693524,0.333524,0.30000000000000004,0.38,0.30000000000000004,0.5352939999999999,0.5,0.58,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.07,0.6891860000000001,0.32918600000000003,0.29000000000000004,0.37,0.29000000000000004,0.5344059999999999,0.49,0.59,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.08,0.684916,0.324916,0.28,0.38,0.28,0.5338639999999999,0.48,0.58,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.09,0.680894,0.32089400000000007,0.27,0.37,0.27,0.532962,0.47,0.59,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.1,0.6759059999999999,0.315906,0.26,0.38,0.26,0.531542,0.48,0.5804999999999927,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.11,0.6717,0.31170000000000003,0.27,0.37,0.25,0.5312040000000001,0.47,0.59,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.12,0.667068,0.307068,0.26,0.36,0.24,0.530406,0.46,0.6,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.13,0.662446,0.30244600000000005,0.25,0.37,0.22999999999999998,0.529616,0.47,0.59,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.14,0.65865,0.29865,0.24,0.36,0.21999999999999997,0.52884,0.46,0.6,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.15,0.654222,0.29422200000000004,0.22999999999999998,0.37,0.20999999999999996,0.5281020000000001,0.45,0.59,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.16,0.649458,0.289458,0.21999999999999997,0.36,0.20000000000000007,0.526906,0.46,0.6,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.17,0.645098,0.2850980000000001,0.22999999999999998,0.35,0.19000000000000006,0.526334,0.45,0.61,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.18,0.640322,0.280322,0.21999999999999997,0.33999999999999997,0.18000000000000005,0.525432,0.46,0.6,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.19,0.636626,0.27662600000000004,0.20999999999999996,0.35,0.17000000000000004,0.5248139999999999,0.45,0.61,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.2,0.6315820000000001,0.271582,0.20000000000000007,0.33999999999999997,0.16000000000000003,0.5236040000000001,0.44,0.6,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.21,0.627808,0.267808,0.19000000000000006,0.35,0.15000000000000002,0.5233519999999999,0.45,0.61,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.22,0.622442,0.262442,0.20000000000000007,0.33999999999999997,0.14,0.522832,0.44,0.6,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.23,0.61855,0.25855,0.19000000000000006,0.32999999999999996,0.13,0.521598,0.43,0.61,0.32000000000000006,0.72,0.36,0.36
gpt-4.1-mini,nlsy97,0.24,0.6140359999999999,0.25403600000000004,0.18000000000000005,0.33999999999999997,0.14,0.521016,0.44,0.6,0.32000000000000006,0.72,0.36,0.36
